Date, Iteration, Average Virial, Virial Sum, Potential Energy 
2026-02-05 19:39:07,0,-inf,-4401929.869033885,-27675963.829706337
2026-02-05 19:39:13,1,-4402518.698264169,-4402518.698264169,-27677603.00532693
2026-02-05 19:39:20,2,-2201750.040245666,-4403500.080491332,-27680329.847472478
2026-02-05 19:39:23,3,-1468291.3309873182,-4404873.992961954,-27684136.58522684
2026-02-05 19:39:27,4,-1101660.099372421,-4406640.397489684,-27689012.24791398
2026-02-05 19:39:30,5,-881759.8469220148,-4408799.234610074,-27694942.571027845
2026-02-05 19:39:33,6,-735225.0703633401,-4411350.422180041,-27701913.810197905
2026-02-05 19:39:36,7,-630613.4175676851,-4414293.922973796,-27709938.786790594
2026-02-05 19:39:39,8,-552203.7535650044,-4417630.028520036,-27719144.746840864
2026-02-05 19:39:42,9,-491262.20999221556,-4421359.88992994,-27729839.65813093
2026-02-05 19:39:46,10,-442548.58958445245,-4425485.895844525,-27742417.96866848
2026-02-05 19:39:49,11,-402727.7301738432,-4430005.031912276,-27757254.878369562
2026-02-05 19:39:52,12,-369577.2110006471,-4434926.532007765,-27774655.339744184
2026-02-05 19:39:55,13,-341558.0075484209,-4440254.098129472,-27794647.287681356
2026-02-05 19:39:58,14,-317570.76676705567,-4445990.734738779,-27817167.676622503
2026-02-05 19:40:01,15,-296809.24495900364,-4452138.674385055,-27841988.906562693
2026-02-05 19:40:05,16,-278668.683890245,-4458698.94224392,-27868898.51116088
2026-02-05 19:40:08,17,-262686.5664499095,-4465671.629648461,-27897515.74660194
2026-02-05 19:40:11,18,-248503.0912245405,-4473055.642041729,-27927593.8675721
2026-02-05 19:40:14,19,-235834.17186148724,-4480849.265368258,-27958767.38575449
2026-02-05 19:40:18,20,-224452.48809264094,-4489049.761852819,-27990835.68874766
2026-02-05 19:40:21,21,-214172.44479986382,-4497621.34079714,-28023293.55055522
2026-02-05 19:40:24,22,-204844.9524067523,-4506588.952948551,-28056063.58912182
2026-02-05 19:40:28,23,-196345.5373652298,-4515947.359400285,-28088809.59044493
2026-02-05 19:40:31,24,-188570.4339001437,-4525690.413603448,-28121325.609100044
2026-02-05 19:40:34,25,-181432.44826558922,-4535811.20663973,-28153440.689100012
2026-02-05 19:40:38,26,-174857.7551254846,-4546301.6332626,-28184773.595665835
2026-02-05 19:40:41,27,-168783.4248907695,-4557152.472050777,-28215242.70140428
2026-02-05 19:40:44,28,-163155.4741952209,-4568353.277466184,-28244467.63319861
2026-02-05 19:40:48,29,-157927.309511274,-4579891.975826946,-28272159.813786417
2026-02-05 19:40:51,30,-153058.49586126299,-4591754.8758378895,-28298143.37962081
2026-02-05 19:40:54,31,-148511.41018782367,-4603853.715822534,-28321801.33631733
2026-02-05 19:40:58,32,-144257.51113688634,-4616240.356380363,-28343170.827696256
2026-02-05 19:41:01,33,-140269.54773846467,-4628895.075369334,-28361642.80192288
2026-02-05 19:41:05,34,-136523.3953538171,-4641795.442029781,-28376910.834251687
2026-02-05 19:41:08,35,-132997.59991164546,-4654915.996907591,-28388475.40336469
2026-02-05 19:41:11,36,-129673.00034209287,-4668228.012315343,-28395895.702734143
2026-02-05 19:41:15,37,-126532.40951580952,-4681699.152084952,-28398538.754594643
2026-02-05 19:41:18,38,-123560.34479640525,-4695293.102263399,-28395818.71149849
2026-02-05 19:41:22,39,-120742.80327787604,-4708969.327837165,-28387059.674455494
2026-02-05 19:41:25,40,-118067.07002086958,-4722682.800834783,-28371512.334198453
2026-02-05 19:41:29,41,-115519.0194778318,-4736279.798591103,-28348676.109815322
2026-02-05 19:41:32,42,-113090.76711945946,-4749812.219017297,-28317657.932252627
2026-02-05 19:41:35,43,-110772.62447672649,-4763222.852499239,-28277554.151941832
2026-02-05 19:41:39,44,-108555.68883978976,-4776450.308950749,-28227402.24911955
2026-02-05 19:41:42,45,-106431.76300441902,-4789429.335198856,-28166217.978441842
2026-02-05 19:41:46,46,-104393.29356991815,-4802091.504216235,-28093016.620568797
2026-02-05 19:41:49,47,-102433.32007080203,-4814366.043327696,-28006819.441515148
2026-02-05 19:41:53,48,-100545.4297524969,-4826180.628119851,-27906621.2968197
2026-02-05 19:41:56,49,-98723.72743906411,-4837462.644514142,-27791383.451352313
2026-02-05 19:42:00,50,-96962.81180538716,-4848140.590269358,-27660060.083862655
2026-02-05 19:42:03,51,-95256.35885880027,-4858074.301798814,-27513000.657400884
2026-02-05 19:42:07,52,-93601.62914839179,-4867284.715716373,-27348432.231688734
2026-02-05 19:42:10,53,-91994.60343766288,-4875713.982196133,-27165558.492104266
2026-02-05 19:42:13,54,-90431.67829797874,-4883310.628090852,-26963808.2858083
2026-02-05 19:42:17,55,-88909.64991224544,-4890030.745173499,-26742647.563596755
2026-02-05 19:42:20,56,-87425.69442683356,-4895838.88790268,-26501723.91117905
2026-02-05 19:42:24,57,-85977.3480973313,-4900708.841547884,-26240704.640539378
2026-02-05 19:42:27,58,-84562.48727002126,-4904624.261661233,-25959561.38006285
2026-02-05 19:42:31,59,-83179.30231881344,-4907578.836809993,-25658371.92490428
2026-02-05 19:42:35,60,-81826.27434058799,-4909576.46043528,-25337317.378785588
2026-02-05 19:42:38,61,-80502.17420072321,-4910632.626244116,-24998266.42549745
2026-02-05 19:42:41,62,-79206.21317351388,-4910785.216757861,-24640549.772149097
2026-02-05 19:42:45,63,-77937.59171141162,-4910068.277818932,-24264959.97588968
2026-02-05 19:42:48,64,-76695.6927366991,-4908524.335148742,-23872194.8187358
2026-02-05 19:42:52,65,-75480.05370381869,-4906203.490748215,-23463365.985298693
2026-02-05 19:42:55,66,-74290.3495685418,-4903163.071523759,-23039430.68320319
2026-02-05 19:42:59,67,-73126.36692194319,-4899466.583770194,-22601658.29185869
2026-02-05 19:43:02,68,-71987.98822341618,-4895183.1991923,-22151129.85875477
2026-02-05 19:43:06,69,-70875.17215277912,-4890386.878541759,-21689289.13798116
2026-02-05 19:43:09,70,-69787.93178980393,-4885155.225286275,-21217558.19962833
2026-02-05 19:43:13,71,-68726.19465196428,-4879559.820289464,-20736711.70249522
2026-02-05 19:43:16,72,-67690.08450139871,-4873686.084100707,-20248723.06738174
2026-02-05 19:43:20,73,-66679.6859581972,-4867617.074948396,-19755105.86202174
2026-02-05 19:43:23,74,-65695.0785749444,-4861435.814545886,-19257339.20062448
2026-02-05 19:43:27,75,-64736.3277136008,-4855224.57852006,-18756862.30245891
2026-02-05 19:43:30,76,-63803.46900430472,-4849063.644327159,-18255164.059506394
