Date, Iteration, Average Virial, Virial Sum, Potential Energy 
2026-02-04 13:43:25,0,-inf,-4401929.881787646,-27675963.908737414
2026-02-04 13:43:50,1,-4402518.655360476,-4402518.655360476,-27677603.06635645
2026-02-04 13:44:16,2,-2201749.955905638,-4403499.911811276,-27680329.797206588
2026-02-04 13:44:29,3,-1468291.2089051632,-4404873.62671549,-27684136.332511567
2026-02-04 13:44:52,4,-1101659.9400672151,-4406639.7602688605,-27689011.702390388
2026-02-04 13:45:16,5,-881759.6503871888,-4408798.251935944,-27694941.839737352
2026-02-04 13:45:28,6,-735224.8361442112,-4411349.016865267,-27701911.821311563
2026-02-04 13:45:52,7,-630613.1447482491,-4414292.013237744,-27709939.02938106
2026-02-04 13:46:15,8,-552203.444596885,-4417627.55677508,-27719154.6606762
2026-02-04 13:46:39,9,-491261.8669133715,-4421356.802220344,-27729837.945218947
2026-02-04 13:47:02,10,-442548.2073703654,-4425482.073703654,-27742408.883189544
2026-02-04 13:47:26,11,-402727.3097719788,-4430000.407491767,-27757247.752816856
2026-02-04 13:47:49,12,-369576.7450661208,-4434920.94079345,-27774627.340028368
2026-02-04 13:48:12,13,-341557.49913460296,-4440247.488749838,-27794649.568386722
2026-02-04 13:48:36,14,-317570.2200450291,-4445983.080630408,-27817157.935436204
2026-02-04 13:48:59,15,-296808.6541515686,-4452129.812273529,-27841981.54413958
2026-02-04 13:49:12,16,-278668.04977991653,-4458688.7964786645,-27868855.985167406
2026-02-04 13:49:36,17,-262685.8814607344,-4465659.984832485,-27897478.449638344
2026-02-04 13:49:59,18,-248502.3651280502,-4473042.5723049035,-27927557.685059555
2026-02-04 13:50:23,19,-235833.40125153773,-4480834.623779217,-27958768.598379396
2026-02-04 13:50:47,20,-224451.67028761446,-4489033.405752289,-27990790.267228413
2026-02-04 13:51:10,21,-214171.57626576966,-4497603.101581163,-28023214.303794738
2026-02-04 13:51:34,22,-204844.0339645924,-4506568.747221033,-28055996.75476843
2026-02-04 13:51:58,23,-196344.5680643292,-4515925.065479572,-28088743.231994368
2026-02-04 13:52:21,24,-188569.41659653746,-4525665.998316899,-28121279.675471805
2026-02-04 13:52:45,25,-181431.38269526087,-4535784.567381522,-28153404.939918846
2026-02-04 13:52:58,26,-174856.6408658549,-4546272.662512227,-28184765.311482135
2026-02-04 13:53:22,27,-168782.2615454454,-4557121.061727026,-28215197.99531766
2026-02-04 13:53:46,28,-163154.2589744023,-4568319.251283265,-28244479.5287441
2026-02-04 13:54:10,29,-157926.04284732105,-4579855.24257231,-28272188.413850717
2026-02-04 13:54:34,30,-153057.17722656537,-4591715.316796961,-28298122.15010958
2026-02-04 13:54:58,31,-148510.0390709652,-4603811.211199922,-28321882.117919117
2026-02-04 13:55:21,32,-144256.08638686154,-4616194.764379569,-28343155.79946679
2026-02-04 13:55:45,33,-140268.06739086987,-4628846.223898706,-28361634.65722007
2026-02-04 13:56:09,34,-136521.8570042806,-4641743.138145541,-28376882.041652326
2026-02-04 13:56:33,35,-132996.00078666757,-4654860.027533365,-28388488.086123683
2026-02-04 13:56:46,36,-129671.33514040771,-4668168.065054677,-28395804.73507025
2026-02-04 13:57:10,37,-126530.67138191836,-4681634.841130979,-28398476.17900522
2026-02-04 13:57:34,38,-123558.52371772693,-4695223.901273623,-28395732.465988867
2026-02-04 13:57:58,39,-120740.88571368194,-4708894.542833596,-28386944.92895398
2026-02-04 13:58:22,40,-118065.03866436185,-4722601.546574474,-28371410.315029837
