Date, Iteration, Virial Sum, Potential Energy 
2026-02-12 16:02:42,0,-4401929.881785958,-27675963.90873948
2026-02-12 16:03:12,1,-4402518.655360746,-27677603.066366613
2026-02-12 16:03:42,2,-4403499.911813073,-27680329.797202643
2026-02-12 16:04:00,3,-4404873.626716753,-27684136.33251132
2026-02-12 16:04:24,4,-4406639.760268848,-27689011.702390343
2026-02-12 16:04:49,5,-4408798.251937618,-27694941.83973486
2026-02-12 16:05:07,6,-4411349.016865379,-27701911.821309585
2026-02-12 16:05:32,7,-4414292.013240285,-27709939.029382266
2026-02-12 16:05:56,8,-4417627.556776409,-27719154.660673033
2026-02-12 16:06:21,9,-4421356.802220371,-27729837.945215266
2026-02-12 16:06:46,10,-4425482.0737040695,-27742408.883184563
2026-02-12 16:07:10,11,-4430000.4074911,-27757247.752821624
2026-02-12 16:07:35,12,-4434920.940792496,-27774627.340030514
2026-02-12 16:07:59,13,-4440247.488749893,-27794649.568386607
2026-02-12 16:08:24,14,-4445983.080631309,-27817157.93543309
2026-02-12 16:08:48,15,-4452129.812274895,-27841981.54414302
2026-02-12 16:09:07,16,-4458688.796479075,-27868855.985165782
2026-02-12 16:09:32,17,-4465659.984834381,-27897478.449636392
2026-02-12 16:09:58,18,-4473042.57230448,-27927557.685060948
2026-02-12 16:10:23,19,-4480834.62377827,-27958768.598375984
2026-02-12 16:10:48,20,-4489033.405752888,-27990790.26722955
2026-02-12 16:11:13,21,-4497603.101580953,-28023214.303791843
2026-02-12 16:11:39,22,-4506568.747220263,-28055996.75476326
2026-02-12 16:12:04,23,-4515925.065479442,-28088743.23198802
2026-02-12 16:12:29,24,-4525665.998317101,-28121279.675468825
2026-02-12 16:12:54,25,-4535784.567381728,-28153404.939919665
2026-02-12 16:13:13,26,-4546272.662512055,-28184765.3114838
2026-02-12 16:13:39,27,-4557121.061727599,-28215197.99532058
2026-02-12 16:14:04,28,-4568319.251284367,-28244479.528744515
2026-02-12 16:14:30,29,-4579855.24257406,-28272188.413849488
2026-02-12 16:14:56,30,-4591715.316797635,-28298122.150102623
2026-02-12 16:15:21,31,-4603811.21119915,-28321882.117918797
2026-02-12 16:15:46,32,-4616194.7643793095,-28343155.799461666
2026-02-12 16:16:12,33,-4628846.223898683,-28361634.65721201
2026-02-12 16:16:37,34,-4641743.138147214,-28376882.04165002
2026-02-12 16:17:03,35,-4654860.027532077,-28388488.08612649
2026-02-12 16:17:22,36,-4668168.065054785,-28395804.73506796
2026-02-12 16:17:48,37,-4681634.841129587,-28398476.179003693
2026-02-12 16:18:14,38,-4695223.901272095,-28395732.465989493
2026-02-12 16:18:40,39,-4708894.542833169,-28386944.92895685
2026-02-12 16:19:05,40,-4722601.546572822,-28371410.315030716
2026-02-12 16:19:31,41,-4736190.910139507,-28348522.282507896
2026-02-12 16:19:57,42,-4749714.334260198,-28317316.05106778
2026-02-12 16:20:23,43,-4763114.41395752,-28277046.501943514
2026-02-12 16:20:48,44,-4776329.651653854,-28226756.97461439
2026-02-12 16:21:14,45,-4789295.102726144,-28165447.646470618
2026-02-12 16:21:34,46,-4801942.851619697,-28092133.60809294
2026-02-12 16:22:00,47,-4814202.810730157,-28005790.02180242
2026-02-12 16:22:26,48,-4826003.720001369,-27905392.41550424
2026-02-12 16:22:52,49,-4837273.89310739,-27790046.91763924
2026-02-12 16:23:18,50,-4847942.441974145,-27658642.851619154
2026-02-12 16:23:44,51,-4857870.145478477,-27511555.835753888
2026-02-12 16:24:10,52,-4867077.847545392,-27346972.79913389
2026-02-12 16:24:36,53,-4875507.567045347,-27164251.168523163
2026-02-12 16:25:02,54,-4883107.332532584,-26962575.058288433
2026-02-12 16:25:28,55,-4889832.07221596,-26741481.942071248
2026-02-12 16:25:48,56,-4895644.674283953,-26500622.961003076
2026-02-12 16:26:15,57,-4900516.850634311,-26239718.630988266
2026-02-12 16:26:41,58,-4904429.804475174,-25958602.943667054
2026-02-12 16:27:07,59,-4907374.867085426,-25657367.46273648
2026-02-12 16:27:34,60,-4909353.90400716,-25336215.988693345
2026-02-12 16:28:00,61,-4910380.996130777,-24996852.933046862
2026-02-12 16:28:27,62,-4910493.57001079,-24638749.047994945
2026-02-12 16:28:53,63,-4909726.339733194,-24262567.133908533
2026-02-12 16:29:20,64,-4908123.852767178,-23869133.634660356
2026-02-12 16:29:46,65,-4905739.332234738,-23459564.537648816
2026-02-12 16:30:06,66,-4902633.877427201,-23034925.166433193
2026-02-12 16:30:33,67,-4898875.3438444,-22596467.6533068
2026-02-12 16:30:59,68,-4894537.124385186,-22145450.979473203
2026-02-12 16:31:26,69,-4889696.968342502,-21683222.64659018
2026-02-12 16:31:53,70,-4884435.764480113,-21211246.550953574
2026-02-12 16:32:20,71,-4878827.037900061,-20730370.954704303
2026-02-12 16:32:47,72,-4872957.51546356,-20242647.220730647
2026-02-12 16:33:14,73,-4866910.584735633,-19749490.666284647
2026-02-12 16:33:41,74,-4860768.618870243,-19252402.753133774
2026-02-12 16:34:08,75,-4854612.095989435,-18752932.243134353
2026-02-12 16:34:28,76,-4848519.04743827,-18252408.339648552
2026-02-12 16:34:55,77,-4842564.463365136,-17752161.86027506
2026-02-12 16:35:23,78,-4836819.784613254,-17253574.985464703
2026-02-12 16:35:50,79,-4831352.244676378,-16757987.127969462
2026-02-12 16:36:18,80,-4826224.514425989,-16266443.191080064
2026-02-12 16:36:45,81,-4821469.520827177,-15778458.18825613
2026-02-12 16:37:12,82,-4817146.784964831,-15296474.391045867
2026-02-12 16:37:40,83,-4813304.100239761,-14821534.042766716
2026-02-12 16:38:08,84,-4809984.385640054,-14354429.275814744
2026-02-12 16:38:35,85,-4807225.871786379,-13895986.57211167
2026-02-12 16:38:55,86,-4805062.098962822,-13446935.190595424
2026-02-12 16:39:23,87,-4803521.808750668,-13007998.507844875
2026-02-12 16:39:51,88,-4802629.004258034,-12579677.974503744
2026-02-12 16:40:18,89,-4802402.940158975,-12162480.918277293
2026-02-12 16:40:46,90,-4802857.823017638,-11756868.803018387
2026-02-12 16:41:14,91,-4804000.476820302,-11362561.233545484
2026-02-12 16:41:42,92,-4805831.280367985,-10980274.052446049
2026-02-12 16:42:10,93,-4808351.190280001,-10610304.85952701
2026-02-12 16:42:38,94,-4811557.329220885,-10252638.865048964
2026-02-12 16:43:06,95,-4815443.392303964,-9907395.91302901
2026-02-12 16:43:26,96,-4819999.722900665,-9574525.873396313
2026-02-12 16:43:54,97,-4825213.5324681355,-9254069.872525321
2026-02-12 16:44:22,98,-4831069.24563291,-8945891.203005306
2026-02-12 16:44:50,99,-4837548.781224973,-8649845.616794836
2026-02-12 16:45:19,100,-4844631.702427798,-8365779.850271111
2026-02-12 16:45:47,101,-4852285.564288761,-8094083.78352496
2026-02-12 16:46:16,102,-4860512.275643625,-7834106.424137153
2026-02-12 16:46:44,103,-4869286.269886401,-7585480.68730623
2026-02-12 16:47:12,104,-4878580.676216204,-7347857.260434412
2026-02-12 16:47:41,105,-4888367.654514578,-7120951.852703171
2026-02-12 16:48:01,106,-4898618.5769650275,-6904355.251102632
2026-02-12 16:48:29,107,-4909304.224603177,-6697677.839427557
