Date, Iteration, Virial Sum, Potential Energy 
2026-02-24 03:14:57,0,-4401929.881787759,-27675963.90886585
2026-02-24 03:15:20,1,-4402518.6553637,-27677603.06642621
2026-02-24 03:15:44,2,-4403499.91181267,-27680329.797241393
2026-02-24 03:16:07,3,-4404873.626715617,-27684136.33250837
2026-02-24 03:16:30,4,-4406639.7602690635,-27689011.702390693
2026-02-24 03:16:52,5,-4408798.251936709,-27694941.839736454
2026-02-24 03:17:15,6,-4411349.016865228,-27701911.821311183
2026-02-24 03:17:38,7,-4414292.013237554,-27709939.02938105
2026-02-24 03:18:01,8,-4417627.556775288,-27719154.66067435
2026-02-24 03:18:23,9,-4421356.802220699,-27729837.94521945
2026-02-24 03:18:46,10,-4425482.073704172,-27742408.883188333
2026-02-24 03:19:02,11,-4430000.407492706,-27757247.752819523
2026-02-24 03:19:25,12,-4434920.94079379,-27774627.340029724
2026-02-24 03:19:48,13,-4440247.488750276,-27794649.568386167
2026-02-24 03:20:11,14,-4445983.0806303695,-27817157.935434327
2026-02-24 03:20:34,15,-4452129.812274047,-27841981.544139937
2026-02-24 03:20:57,16,-4458688.79647876,-27868855.985169105
2026-02-24 03:21:20,17,-4465659.984832755,-27897478.449638814
2026-02-24 03:21:43,18,-4473042.572304441,-27927557.685058467
2026-02-24 03:22:06,19,-4480834.623779092,-27958768.598379746
2026-02-24 03:22:29,20,-4489033.405752036,-27990790.267226882
2026-02-24 03:22:45,21,-4497603.1015817365,-28023214.303795364
2026-02-24 03:23:08,22,-4506568.747220103,-28055996.75476326
2026-02-24 03:23:31,23,-4515925.065479441,-28088743.23199035
2026-02-24 03:23:54,24,-4525665.998317256,-28121279.67546839
2026-02-24 03:24:17,25,-4535784.567381544,-28153404.93992043
2026-02-24 03:24:40,26,-4546272.662512672,-28184765.311485037
2026-02-24 03:25:03,27,-4557121.061727281,-28215197.995318033
2026-02-24 03:25:26,28,-4568319.251283072,-28244479.528743573
2026-02-24 03:25:49,29,-4579855.242572548,-28272188.413851343
2026-02-24 03:26:12,30,-4591715.316796759,-28298122.150109947
2026-02-24 03:26:29,31,-4603811.211199987,-28321882.117921576
2026-02-24 03:26:52,32,-4616194.764379765,-28343155.79946718
2026-02-24 03:27:15,33,-4628846.223898798,-28361634.65721935
2026-02-24 03:27:38,34,-4641743.138145336,-28376882.041652903
2026-02-24 03:28:01,35,-4654860.027532975,-28388488.08612486
2026-02-24 03:28:25,36,-4668168.06505482,-28395804.73507274
2026-02-24 03:28:48,37,-4681634.841130556,-28398476.17900578
2026-02-24 03:29:11,38,-4695223.901272395,-28395732.465992186
2026-02-24 03:29:34,39,-4708894.542833439,-28386944.928955115
2026-02-24 03:29:57,40,-4722601.5465737665,-28371410.315027796
2026-02-24 03:30:14,41,-4736190.910139694,-28348522.282506894
2026-02-24 03:30:37,42,-4749714.334261461,-28317316.051072493
2026-02-24 03:31:00,43,-4763114.413957206,-28277046.50194111
2026-02-24 03:31:23,44,-4776329.651652303,-28226756.974618193
2026-02-24 03:31:47,45,-4789295.102725099,-28165447.64647281
2026-02-24 03:32:10,46,-4801942.851618207,-28092133.60809443
2026-02-24 03:32:33,47,-4814202.810728394,-28005790.02180195
2026-02-24 03:32:56,48,-4826003.720001583,-27905392.415500432
2026-02-24 03:33:19,49,-4837273.893106672,-27790046.917640436
2026-02-24 03:33:43,50,-4847942.441975287,-27658642.85162118
2026-02-24 03:34:00,51,-4857870.145478868,-27511555.835756607
2026-02-24 03:34:23,52,-4867077.847545223,-27346972.79913601
2026-02-24 03:34:46,53,-4875507.567045343,-27164251.168526497
2026-02-24 03:35:10,54,-4883107.33253213,-26962575.058284264
2026-02-24 03:35:33,55,-4889832.072216745,-26741481.942070853
2026-02-24 03:35:57,56,-4895644.6742859855,-26500622.961004823
2026-02-24 03:36:20,57,-4900516.850633872,-26239718.630989283
2026-02-24 03:36:44,58,-4904429.804475254,-25958602.943666734
2026-02-24 03:37:07,59,-4907374.867086034,-25657367.462738402
2026-02-24 03:37:31,60,-4909353.904007356,-25336215.988696165
2026-02-24 03:37:47,61,-4910380.996131766,-24996852.933046054
2026-02-24 03:38:11,62,-4910493.57000989,-24638749.047995526
2026-02-24 03:38:35,63,-4909726.339733791,-24262567.133905247
2026-02-24 03:38:59,64,-4908123.85276607,-23869133.634660274
2026-02-24 03:39:23,65,-4905739.332234945,-23459564.537654072
2026-02-24 03:39:46,66,-4902633.877427121,-23034925.166437104
2026-02-24 03:40:10,67,-4898875.343843956,-22596467.65330908
2026-02-24 03:40:34,68,-4894537.124384354,-22145450.97947535
2026-02-24 03:40:58,69,-4889696.968341708,-21683222.646591805
2026-02-24 03:41:22,70,-4884435.764478925,-21211246.55095525
2026-02-24 03:41:39,71,-4878827.037897701,-20730370.95470232
2026-02-24 03:42:03,72,-4872957.515463082,-20242647.22072234
2026-02-24 03:42:27,73,-4866910.58473495,-19749490.66628453
2026-02-24 03:42:51,74,-4860768.61886979,-19252402.753131345
2026-02-24 03:43:15,75,-4854612.095990145,-18752932.243130922
2026-02-24 03:43:40,76,-4848519.047438038,-18252408.33965123
2026-02-24 03:44:04,77,-4842564.463365237,-17752161.860273838
2026-02-24 03:44:28,78,-4836819.784613748,-17253574.985468064
2026-02-24 03:44:53,79,-4831352.244675206,-16757987.127972959
2026-02-24 03:45:17,80,-4826224.514426238,-16266443.191080641
2026-02-24 03:45:34,81,-4821469.520827434,-15778458.188254317
2026-02-24 03:45:58,82,-4817146.784964831,-15296474.39104207
2026-02-24 03:46:23,83,-4813304.100239993,-14821534.042765234
2026-02-24 03:46:48,84,-4809984.385640486,-14354429.275816083
2026-02-24 03:47:12,85,-4807225.871785076,-13895986.572112259
2026-02-24 03:47:37,86,-4805062.0989631275,-13446935.190595716
2026-02-24 03:48:02,87,-4803521.80875137,-13007998.507844422
2026-02-24 03:48:27,88,-4802629.004258853,-12579677.974506043
2026-02-24 03:48:52,89,-4802402.940158785,-12162480.91827864
2026-02-24 03:49:17,90,-4802857.823015454,-11756868.803018792
2026-02-24 03:49:33,91,-4804000.476820336,-11362561.23354572
2026-02-24 03:49:58,92,-4805831.280367608,-10980274.052447865
2026-02-24 03:50:23,93,-4808351.190278812,-10610304.859526888
2026-02-24 03:50:48,94,-4811557.329221497,-10252638.865049513
2026-02-24 03:51:14,95,-4815443.392302187,-9907395.913030554
2026-02-24 03:51:39,96,-4819999.722900581,-9574525.873398077
2026-02-24 03:52:04,97,-4825213.532469014,-9254069.872526295
2026-02-24 03:52:29,98,-4831069.245633908,-8945891.203004686
2026-02-24 03:52:55,99,-4837548.781224711,-8649845.616795735
2026-02-24 03:53:20,100,-4844631.702428243,-8365779.850272134
2026-02-24 03:53:37,101,-4852285.564288629,-8094083.783526223
2026-02-24 03:54:02,102,-4860512.275644009,-7834106.424138483
2026-02-24 03:54:28,103,-4869286.269886656,-7585480.68730489
2026-02-24 03:54:53,104,-4878580.67621554,-7347857.260434342
2026-02-24 03:55:19,105,-4888367.654514716,-7120951.852703728
2026-02-24 03:55:44,106,-4898618.576966171,-6904355.25110287
2026-02-24 03:56:10,107,-4909304.224603541,-6697677.839427255
2026-02-24 03:56:36,108,-4920395.137970408,-6500520.460221531
2026-02-24 03:57:02,109,-4931861.773279465,-6312549.80107821
2026-02-24 03:57:28,110,-4943674.722558136,-6133240.203993124
2026-02-24 03:57:44,111,-4955755.701257133,-5963507.613462154
2026-02-24 03:58:10,112,-4968163.211984464,-5802224.444337105
2026-02-24 03:58:36,113,-4980868.912107426,-5649019.797830431
2026-02-24 03:59:02,114,-4993844.749371382,-5503331.247737166
2026-02-24 03:59:28,115,-5007063.220503982,-5364940.782816142
2026-02-24 03:59:54,116,-5020497.551778426,-5233334.772221778
2026-02-24 04:00:20,117,-5034121.862083952,-5108189.253170301
2026-02-24 04:00:46,118,-5047911.164149045,-4989121.728111458
2026-02-24 04:01:12,119,-5061841.334731567,-4875623.435781751
2026-02-24 04:01:38,120,-5075889.022629797,-4767424.409631546
2026-02-24 04:01:55,121,-5089951.389897352,-4665386.1796945995
2026-02-24 04:02:21,122,-5104139.548641855,-4568717.112845409
2026-02-24 04:02:47,123,-5118431.504536082,-4477093.9280273635
2026-02-24 04:03:14,124,-5132805.359023063,-4390101.234638423
2026-02-24 04:03:40,125,-5147239.66128945,-4307504.79835322
2026-02-24 04:04:06,126,-5161713.728872999,-4228825.390129835
2026-02-24 04:04:33,127,-5176207.938146773,-4153794.67742211
2026-02-24 04:04:59,128,-5190703.870034251,-4082071.5766191566
2026-02-24 04:05:25,129,-5205184.4282437535,-4013449.9667597516
2026-02-24 04:05:52,130,-5219634.120768293,-3947588.166282111
2026-02-24 04:06:09,131,-5233949.812742902,-3885266.041150391
2026-02-24 04:06:35,132,-5248267.4822388105,-3826182.888732671
2026-02-24 04:07:02,133,-5262573.92119692,-3770033.044015734
2026-02-24 04:07:28,134,-5276855.773636572,-3716727.2938915654
2026-02-24 04:07:55,135,-5291099.427606631,-3665902.97632984
2026-02-24 04:08:21,136,-5305291.2458803225,-3617365.058285568
2026-02-24 04:08:48,137,-5319417.550344157,-3570893.5561506255
2026-02-24 04:09:15,138,-5333465.124668101,-3526254.714298115
2026-02-24 04:09:42,139,-5347421.086489388,-3483144.4528496317
2026-02-24 04:10:09,140,-5361273.224845671,-3441381.117477844
2026-02-24 04:10:25,141,-5374929.376129677,-3401507.237055597
2026-02-24 04:10:52,142,-5388521.738482193,-3363683.4134285618
2026-02-24 04:11:19,143,-5402040.307120617,-3327496.796206617
2026-02-24 04:11:46,144,-5415475.164663388,-3292920.951568925
2026-02-24 04:12:12,145,-5428816.799746899,-3259710.521294662
2026-02-24 04:12:39,146,-5442056.166897449,-3227735.5480992636
2026-02-24 04:13:06,147,-5455184.7166012535,-3196833.6682460364
2026-02-24 04:13:33,148,-5468194.497353588,-3166919.243294516
2026-02-24 04:14:00,149,-5481078.18705862,-3137761.426300824
2026-02-24 04:14:28,150,-5493829.3039346235,-3109197.076654564
2026-02-24 04:14:44,151,-5506376.54600433,-3081805.3422694076
2026-02-24 04:15:11,152,-5518841.485588827,-3055843.243619739
2026-02-24 04:15:38,153,-5531219.728950505,-3031147.531048164
2026-02-24 04:16:05,154,-5543507.182485397,-3007639.294095087
2026-02-24 04:16:32,155,-5555699.785118741,-2985258.541956159
2026-02-24 04:17:00,156,-5567793.27585972,-2963809.445772624
2026-02-24 04:17:27,157,-5579783.43338401,-2943278.6178646907
2026-02-24 04:17:54,158,-5591665.970296357,-2923623.6674585985
2026-02-24 04:18:21,159,-5603436.380170371,-2904735.2145305257
2026-02-24 04:18:49,160,-5615090.092027874,-2886439.4710395522
2026-02-24 04:19:06,161,-5626570.605670714,-2869268.4104615683
2026-02-24 04:19:33,162,-5637981.650628883,-2853421.956145749
2026-02-24 04:20:00,163,-5649318.104780185,-2838827.3759179674
2026-02-24 04:20:27,164,-5660574.395133297,-2825285.0575417816
2026-02-24 04:20:55,165,-5671744.670360333,-2812757.497427688
2026-02-24 04:21:22,166,-5682822.995860993,-2801179.1859447034
2026-02-24 04:21:49,167,-5693803.5038961945,-2790291.248957226
2026-02-24 04:22:17,168,-5704680.538974314,-2780144.8452652767
2026-02-24 04:22:44,169,-5715448.394544854,-2770605.1908499324
2026-02-24 04:23:12,170,-5726101.540712833,-2761527.9095721855
2026-02-24 04:23:29,171,-5736593.903477727,-2753292.91314335
2026-02-24 04:23:56,172,-5747013.887651272,-2746130.5912818373
2026-02-24 04:24:23,173,-5757355.72571309,-2740001.804802953
2026-02-24 04:24:51,174,-5767613.207408752,-2734754.026231223
2026-02-24 04:25:18,175,-5777780.331434793,-2730293.0540769366
2026-02-24 04:25:46,176,-5787851.342617509,-2726470.831618494
2026-02-24 04:26:14,177,-5797821.122461247,-2723182.0172503917
2026-02-24 04:26:41,178,-5807685.516592856,-2720449.739622618
2026-02-24 04:27:09,179,-5817441.117347281,-2718067.726995226
2026-02-24 04:27:37,180,-5827085.662338712,-2716092.302496021
2026-02-24 04:27:54,181,-5836586.918001139,-2714796.528148061
2026-02-24 04:28:21,182,-5846023.986279715,-2714542.098103561
2026-02-24 04:28:49,183,-5855396.056696474,-2715278.1570328185
2026-02-24 04:29:16,184,-5864701.686168115,-2716929.820070804
2026-02-24 04:29:44,185,-5873938.784130745,-2719470.963915582
2026-02-24 04:30:12,186,-5883104.740917694,-2722842.5765653495
2026-02-24 04:30:40,187,-5892196.028657649,-2726926.2488595573
2026-02-24 04:31:08,188,-5901208.263986733,-2731719.843845242
2026-02-24 04:31:35,189,-5910136.44686395,-2737067.640804402
2026-02-24 04:32:04,190,-5918974.875078813,-2742860.404334298
